"channel_from","channel_to","transition_probability"
"(start)","1",0.283026755852843
"(start)","11",0.0275919732441472
"(start)","12",0.0313545150501672
"(start)","13",0.133779264214047
"(start)","14",0.0142140468227425
"(start)","15",0.00919732441471572
"(start)","16",0.0464046822742475
"(start)","17",0.0129598662207358
"(start)","18",0.00167224080267559
"(start)","19",0.00418060200668896
"(start)","2",0.0831939799331104
"(start)","3",0.0702341137123746
"(start)","4",0.0965719063545151
"(start)","5",0.0259197324414716
"(start)","6",0.0209030100334448
"(start)","7",0.0108695652173913
"(start)","8",0.0234113712374582
"(start)","9",0.104515050167224
"1","13",0.0740740740740741
"1","2",0.186728395061728
"1","3",0.0902777777777778
"1","11",0.0810185185185185
"1","12",0.0401234567901235
"1","14",0.0223765432098765
"1","16",0.0470679012345679
"1","17",0.0146604938271605
"1","4",0.140432098765432
"1","5",0.037037037037037
"1","6",0.0378086419753086
"1","7",0.0208333333333333
"1","8",0.0231481481481481
"1","9",0.114969135802469
"1","(conversion)",0.0462962962962963
"1","15",0.0146604938271605
"1","19",0.00771604938271605
"1","18",0.000771604938271605
"13","12",0.0530785562632696
"13","14",0.0530785562632696
"13","(conversion)",0.0806794055201698
"13","2",0.249469214437367
"13","3",0.0318471337579618
"13","9",0.059447983014862
"13","17",0.0276008492569002
"13","4",0.0828025477707006
"13","1",0.0923566878980892
"13","16",0.123142250530786
"13","15",0.0360934182590234
"13","6",0.00849256900212314
"13","19",0.0106157112526539
"13","5",0.0233545647558386
"13","8",0.0191082802547771
"13","11",0.0414012738853503
"13","7",0.00743099787685775
"12","2",0.239247311827957
"12","(conversion)",0.0618279569892473
"12","13",0.17741935483871
"12","4",0.0940860215053763
"12","14",0.0591397849462366
"12","11",0.0537634408602151
"12","16",0.0483870967741935
"12","19",0.021505376344086
"12","1",0.0698924731182796
"12","15",0.0295698924731183
"12","3",0.0241935483870968
"12","9",0.0188172043010753
"12","17",0.0510752688172043
"12","7",0.00806451612903226
"12","5",0.021505376344086
"12","8",0.0161290322580645
"12","18",0.00268817204301075
"12","6",0.00268817204301075
"2","(conversion)",0.752626970227671
"2","16",0.0262697022767075
"2","11",0.0126970227670753
"2","14",0.00569176882661997
"2","3",0.0205779334500876
"2","4",0.0385288966725044
"2","7",0.00350262697022767
"2","6",0.00700525394045534
"2","12",0.010507880910683
"2","8",0.00350262697022767
"2","1",0.0455341506129597
"2","13",0.0201401050788091
"2","15",0.00875656742556918
"2","9",0.0214535901926445
"2","17",0.0144483362521891
"2","5",0.00656742556917688
"2","18",0.00131348511383538
"2","19",0.000875656742556918
"16","(conversion)",0.129958960328317
"16","2",0.355677154582763
"16","15",0.0984952120383037
"16","14",0.0232558139534884
"16","17",0.132694938440492
"16","4",0.0410396716826265
"16","13",0.06703146374829
"16","5",0.00683994528043776
"16","8",0.00820793433652531
"16","1",0.0355677154582763
"16","3",0.0259917920656635
"16","6",0.00957592339261286
"16","9",0.0259917920656635
"16","11",0.0164158686730506
"16","12",0.00820793433652531
"16","19",0.00820793433652531
"16","7",0.00410396716826265
"16","18",0.0027359781121751
"3","2",0.191829484902309
"3","(conversion)",0.0373001776198934
"3","16",0.0710479573712256
"3","13",0.0355239786856128
"3","17",0.0159857904085258
"3","4",0.19360568383659
"3","7",0.0213143872113677
"3","1",0.0621669626998224
"3","11",0.0603907637655417
"3","5",0.0497335701598579
"3","12",0.0106571936056838
"3","9",0.136767317939609
"3","15",0.0159857904085258
"3","14",0.024866785079929
"3","8",0.0319715808170515
"3","6",0.0373001776198934
"3","18",0.00177619893428064
"3","19",0.00177619893428064
"11","3",0.0347349177330896
"11","1",0.0639853747714808
"11","13",0.0968921389396709
"11","17",0.0329067641681901
"11","2",0.228519195612431
"11","5",0.0329067641681901
"11","12",0.0621572212065814
"11","7",0.0219378427787934
"11","(conversion)",0.0603290676416819
"11","9",0.0621572212065814
"11","4",0.127970749542962
"11","14",0.020109689213894
"11","15",0.0182815356489945
"11","16",0.0895795246800731
"11","6",0.0237659963436929
"11","8",0.020109689213894
"11","19",0.0036563071297989
"14","16",0.109489051094891
"14","13",0.0656934306569343
"14","2",0.328467153284672
"14","4",0.072992700729927
"14","9",0.0510948905109489
"14","7",0.0145985401459854
"14","1",0.0328467153284672
"14","(conversion)",0.0912408759124088
"14","12",0.0255474452554745
"14","5",0.0364963503649635
"14","6",0.0255474452554745
"14","11",0.0145985401459854
"14","15",0.0437956204379562
"14","17",0.0328467153284672
"14","18",0.0109489051094891
"14","19",0.00364963503649635
"14","8",0.0218978102189781
"14","3",0.0182481751824818
"15","2",0.42156862745098
"15","13",0.0686274509803922
"15","17",0.11437908496732
"15","11",0.0130718954248366
"15","16",0.0718954248366013
"15","(conversion)",0.15359477124183
"15","9",0.0196078431372549
"15","12",0.0130718954248366
"15","4",0.0294117647058824
"15","5",0.00980392156862745
"15","1",0.0130718954248366
"15","14",0.0392156862745098
"15","8",0.0130718954248366
"15","3",0.0065359477124183
"15","19",0.00326797385620915
"15","7",0.00326797385620915
"15","18",0.00326797385620915
"15","6",0.00326797385620915
"17","2",0.487738419618529
"17","(conversion)",0.128065395095368
"17","15",0.100817438692098
"17","16",0.0463215258855586
"17","9",0.0217983651226158
"17","1",0.0299727520435967
"17","11",0.0108991825613079
"17","3",0.0190735694822888
"17","4",0.0245231607629428
"17","13",0.0217983651226158
"17","14",0.0217983651226158
"17","19",0.00817438692098093
"17","12",0.0163487738419619
"17","6",0.0136239782016349
"17","18",0.00817438692098093
"17","5",0.0163487738419619
"17","8",0.0190735694822888
"17","7",0.00544959128065395
"4","5",0.0819672131147541
"4","11",0.0690250215703192
"4","9",0.0811044003451251
"4","16",0.0724762726488352
"4","17",0.0241587575496117
"4","2",0.207937877480587
"4","13",0.106125970664366
"4","1",0.0811044003451251
"4","(conversion)",0.0759275237273512
"4","12",0.0388265746333046
"4","3",0.0405522001725626
"4","8",0.0232959447799827
"4","14",0.0232959447799827
"4","6",0.0388265746333046
"4","15",0.0155306298533218
"4","7",0.0120793787748059
"4","19",0.00603968938740293
"4","18",0.00172562553925798
"5","13",0.0842391304347826
"5","6",0.0543478260869565
"5","15",0.0244565217391304
"5","11",0.0706521739130435
"5","12",0.0326086956521739
"5","4",0.133152173913043
"5","2",0.173913043478261
"5","16",0.0516304347826087
"5","(conversion)",0.0625
"5","3",0.0298913043478261
"5","14",0.0353260869565217
"5","7",0.0326086956521739
"5","9",0.0733695652173913
"5","1",0.0896739130434783
"5","17",0.0190217391304348
"5","8",0.0326086956521739
"6","11",0.0609318996415771
"6","(conversion)",0.0716845878136201
"6","1",0.118279569892473
"6","14",0.021505376344086
"6","17",0.028673835125448
"6","4",0.129032258064516
"6","8",0.043010752688172
"6","5",0.0645161290322581
"6","3",0.0537634408602151
"6","12",0.025089605734767
"6","7",0.10752688172043
"6","9",0.0860215053763441
"6","2",0.103942652329749
"6","15",0.00716845878136201
"6","16",0.039426523297491
"6","13",0.039426523297491
"7","8",0.176795580110497
"7","11",0.0607734806629834
"7","9",0.104972375690608
"7","16",0.0165745856353591
"7","(conversion)",0.0828729281767956
"7","2",0.143646408839779
"7","6",0.0497237569060773
"7","15",0.0165745856353591
"7","3",0.0386740331491713
"7","1",0.0828729281767956
"7","4",0.0883977900552486
"7","5",0.0386740331491713
"7","12",0.0276243093922652
"7","13",0.0386740331491713
"7","19",0.00552486187845304
"7","14",0.0220994475138122
"7","18",0.00552486187845304
"8","5",0.0337078651685393
"8","9",0.0898876404494382
"8","1",0.0786516853932584
"8","(conversion)",0.0636704119850187
"8","2",0.217228464419476
"8","16",0.0411985018726592
"8","4",0.0786516853932584
"8","7",0.0337078651685393
"8","13",0.0786516853932584
"8","12",0.0561797752808989
"8","11",0.0674157303370786
"8","15",0.0224719101123595
"8","6",0.0561797752808989
"8","14",0.0224719101123595
"8","3",0.0337078651685393
"8","18",0.00374531835205993
"8","17",0.0187265917602996
"8","19",0.00374531835205993
"9","2",0.204413472706156
"9","17",0.0255516840882695
"9","5",0.0150987224157956
"9","(conversion)",0.0824622531939605
"9","11",0.0894308943089431
"9","15",0.0255516840882695
"9","16",0.0859465737514518
"9","3",0.0569105691056911
"9","12",0.0255516840882695
"9","4",0.197444831591173
"9","13",0.0511033681765389
"9","7",0.0127758420441347
"9","8",0.0150987224157956
"9","6",0.0139372822299652
"9","1",0.0882694541231127
"9","19",0.00116144018583043
"9","14",0.00813008130081301
"9","18",0.00116144018583043
"19","(conversion)",0.15625
"19","2",0.296875
"19","1",0.109375
"19","11",0.015625
"19","3",0.03125
"19","5",0.015625
"19","8",0.015625
"19","12",0.03125
"19","16",0.0625
"19","13",0.109375
"19","9",0.0625
"19","4",0.0625
"19","17",0.015625
"19","14",0.015625
"18","2",0.625
"18","(conversion)",0.0833333333333333
"18","4",0.0833333333333333
"18","1",0.125
"18","16",0.0416666666666667
"18","13",0.0416666666666667
